Index	Centroid Mass	Lower Bound	Upper Bound	Charge (z)	Height	Relative Intensity	Area	S/N Ratio	Resolution	Isotope Cluster Area
338	2745.438965	2744.88	2746.08	1	40	0.36	470.75	55.38	7964.11	2119.38
339	2766.437744	2765.96	2767.05	1	24	0.22	210.67	26.69	8350.28	812.55
340	2804.442871	2804.01	2805.08	1	29	0.26	319.62	37.00	7756.24	1384.93
341	2848.498047	2848.04	2849.12	1	29	0.26	286.33	39.44	7752.46	1354.71
342	2861.524414	2861.01	2862.09	1	12	0.11	68.93	10.18	5624.19	467.61
343	2863.512939	2863.14	2864.11	1	20	0.18	163.00	11.81	8548.80	225.51
344	2864.509521	2864.11	2865.16	1	22	0.20	200.60	11.82	7604.04	200.26
345	2905.536865	2905.09	2905.94	1	19	0.17	148.59	18.11	6633.82	734.81
346	2919.541748	2919.13	2920.17	1	43	0.40	520.15	70.97	6932.43	2740.63
347	2933.626709	2933.02	2934.17	1	12	0.11	83.99	10.22	5939.76	602.29
348	2934.569824	2934.17	2935.14	1	31	0.29	357.30	39.31	6674.07	1330.54
349	2937.554443	2937.16	2938.20	1	35	0.32	373.19	23.42	7567.44	402.17
350	2949.566406	2949.15	2950.16	1	14	0.13	83.22	13.87	7247.40	514.38
351	2952.564697	2952.21	2953.10	1	19	0.17	160.34	10.17	7568.03	190.73
352	2976.574219	2976.13	2977.17	1	23	0.21	245.08	22.70	6274.86	803.90
353	2990.578613	2989.88	2991.16	1	145	1.33	2059.36	281.56	7308.72	10238.65
354	3004.608398	3004.25	3005.13	1	14	0.13	73.06	13.02	6703.09	516.77
355	3008.592773	3008.19	3009.15	1	24	0.22	212.43	21.01	7313.47	506.24
356	3022.589600	3022.22	3023.18	1	23	0.21	209.30	28.55	6739.54	936.60
357	3035.578369	3035.26	3036.02	1	12	0.11	47.43	10.62	7708.45	365.29
358	3037.608154	3037.19	3038.13	1	18	0.16	162.27	13.27	6896.92	366.41
359	3052.588623	3052.26	3053.23	1	14	0.13	60.53	11.26	8253.07	358.40
360	3079.638184	3079.21	3080.09	1	16	0.15	121.91	15.30	5826.42	645.97
361	3093.650635	3092.96	3094.23	1	36	0.33	392.14	60.72	6779.88	2501.99
362	3108.654053	3108.11	3109.23	1	39	0.36	499.02	61.03	6729.94	2554.82
363	3113.637451	3113.26	3114.24	1	24	0.22	205.77	14.92	7065.63	276.81
364	3122.651855	3122.25	3123.23	1	14	0.13	86.94	12.36	5813.81	564.93
365	3125.640869	3125.25	3126.20	1	23	0.21	194.80	19.20	7478.17	473.88
366	3126.644043	3126.20	3127.24	1	31	0.28	290.96	22.41	7659.53	381.76
367	3140.670898	3140.27	3141.28	1	20	0.18	179.61	16.03	6470.92	487.78
368	3150.676270	3150.13	3151.23	1	30	0.28	343.68	39.95	6753.10	1500.00
369	3164.673584	3164.10	3165.24	1	217	1.99	3417.72	432.11	6999.19	17834.81
370	3178.672852	3178.28	3179.24	1	17	0.15	117.44	18.15	6394.82	873.30
371	3181.713135	3181.25	3182.24	1	26	0.24	225.92	13.22	6748.99	205.98
372	3182.686279	3182.24	3183.26	1	38	0.35	409.41	41.54	6948.98	1174.43
373	3194.678467	3194.21	3195.26	1	16	0.14	71.59	14.54	9061.91	597.35
374	3196.683105	3196.25	3197.27	1	45	0.42	545.58	63.04	7405.89	2117.43
375	3267.711914	3267.13	3268.26	1	25	0.23	216.88	32.75	7026.01	1480.52
376	3282.751953	3282.21	3283.31	1	30	0.28	356.12	43.28	6977.76	2171.78
377	3296.764648	3296.35	3297.08	1	15	0.13	56.00	10.75	8179.01	433.79
378	3299.737793	3299.34	3300.29	1	27	0.25	249.55	34.36	6730.94	1272.82
379	3314.750977	3314.25	3315.32	1	35	0.32	401.03	46.07	7183.71	1790.55
380	3324.748535	3324.20	3325.27	1	24	0.22	218.58	28.33	7313.73	1265.13
381	3338.762939	3338.03	3339.29	1	153	1.40	2439.51	296.88	7118.99	13807.43
382	3353.722900	3353.33	3354.29	1	19	0.18	113.14	20.22	6386.26	908.47
383	3356.766846	3356.29	3357.33	1	46	0.42	513.41	56.41	7538.00	1909.88
384	3368.819336	3368.18	3369.35	1	15	0.14	91.16	10.76	4026.46	750.34
385	3370.770752	3370.24	3371.32	1	98	0.90	1353.93	177.53	7573.60	7040.58
386	3384.789795	3384.48	3385.16	1	15	0.14	46.59	10.83	8836.26	414.37
387	3456.852051	3456.19	3457.41	1	18	0.16	129.42	13.98	6985.33	815.95
388	3473.844482	3473.36	3474.43	1	16	0.14	71.56	11.35	5545.15	619.56
389	3488.849121	3488.28	3489.35	1	75	0.69	1068.37	129.24	7191.91	6300.59
390	3499.847900	3499.37	3500.34	1	20	0.19	150.38	14.42	5968.10	594.18
391	3512.856445	3512.26	3513.37	1	66	0.60	928.16	113.33	7367.47	6020.21
392	3528.885986	3528.40	3529.35	1	20	0.18	94.22	19.13	7205.54	926.96
393	3530.859375	3530.36	3531.40	1	38	0.35	429.58	33.68	6508.73	1240.00
394	3543.863281	3543.41	3544.11	1	19	0.18	82.23	13.91	7409.73	912.60
395	3544.862305	3544.11	3545.37	1	250	2.30	4114.55	480.04	7177.34	23597.43
396	3558.892822	3558.35	3559.43	1	18	0.16	97.46	15.15	5396.97	886.18
397	3662.923340	3662.29	3663.45	1	37	0.34	459.75	49.28	7946.68	2675.87
398	3686.948975	3686.19	3687.45	1	19	0.18	124.11	14.96	5463.73	762.62
